horizon,n,n_pos,n_neg,native_thr,native_auc,native_ap,native_acc,native_f1,native_prec,native_rec,A_w_kin,A_w_local,A_w_global,A_thr,A_auc,A_ap,A_acc,A_f1,A_prec,A_rec,B_w_fused,B_w_kin,B_w_local,B_w_global,B_thr,B_auc,B_ap,B_acc,B_f1,B_prec,B_rec,val_n,val_n_pos
ETC0_5,684,180,504,0.7585,0.8825837742504409,0.8041993184811285,0.8567251461988304,0.7365591397849462,0.7135416666666666,0.7611111111111111,0.5,0.2,0.30000000000000004,0.4383231997489929,0.8830357142857143,0.7836279582078806,0.7850877192982456,0.6825053995680346,0.558303886925795,0.8777777777777778,0.45,0.4,0.05,0.1,0.3679541349411011,0.8918871252204585,0.7941707521421696,0.7383040935672515,0.6383838383838384,0.5015873015873016,0.8777777777777778,662,118
ETC1,664,174,490,0.7585,0.8984224724372507,0.8105470759766364,0.858433734939759,0.7359550561797753,0.7197802197802198,0.7528735632183908,0.5,0.2,0.30000000000000004,0.4383231997489929,0.8938892798498711,0.7828392995459181,0.786144578313253,0.6816143497757847,0.5588235294117647,0.8735632183908046,0.45,0.4,0.05,0.1,0.3679541349411011,0.9007037297677692,0.792364632708822,0.766566265060241,0.6637744034707158,0.5331010452961672,0.8793103448275862,662,118
ETC2,603,159,444,0.7585,0.9082313445520993,0.784744167691806,0.867330016583748,0.7575757575757576,0.7309941520467836,0.7861635220125787,0.5,0.2,0.30000000000000004,0.4383231997489929,0.8974021191002323,0.7543756059370332,0.7960199004975125,0.6992665036674817,0.572,0.89937106918239,0.45,0.4,0.05,0.1,0.3679541349411011,0.906538614085784,0.7618428706014533,0.7893864013266998,0.6968973747016707,0.5615384615384615,0.9182389937106918,662,118
ETC3,539,139,400,0.7585,0.8980305755395684,0.7492075157892595,0.8552875695732839,0.7328767123287672,0.6993464052287581,0.7697841726618705,0.5,0.2,0.30000000000000004,0.4383231997489929,0.8869784172661871,0.7476293125712218,0.7532467532467533,0.6472148541114059,0.5126050420168067,0.8776978417266187,0.45,0.4,0.05,0.1,0.3679541349411011,0.895341726618705,0.7560538925011956,0.7662337662337663,0.6666666666666666,0.5271966527196653,0.9064748201438849,662,118
ETC4,487,124,363,0.7585,0.8712676619568118,0.7315612012102171,0.8234086242299795,0.6791044776119403,0.6319444444444444,0.7338709677419355,0.5,0.2,0.30000000000000004,0.4383231997489929,0.8583933173375988,0.7277447598152323,0.7207392197125256,0.6179775280898876,0.47413793103448276,0.8870967741935484,0.45,0.4,0.05,0.1,0.3679541349411011,0.8681684884030925,0.7281665210966423,0.7248459958932238,0.6214689265536724,0.4782608695652174,0.8870967741935484,662,118
