strategy,horizon,n,n_pos,auc,static_thr,static_f1,static_prec,static_rec,static_acc,tuned_thr,tuned_f1,tuned_prec,tuned_rec,tuned_acc,auc_kin,auc_local,auc_global
PIE-only,ETC0_5,684,180,0.8825837742504409,0.7585,0.7365591397849462,0.7135416666666666,0.7611111111111111,0.8567251461988304,0.8629302382469177,0.7596439169139466,0.8152866242038217,0.7111111111111111,0.881578947368421,0.8795524691358025,0.7671737213403882,0.741137566137566
PIE-only,ETC1,664,174,0.8984224724372507,0.7585,0.7359550561797753,0.7197802197802198,0.7528735632183908,0.858433734939759,0.8967949151992798,0.7581699346405228,0.8787878787878788,0.6666666666666666,0.8885542168674698,0.8766772226131831,0.8231937602627257,0.765024630541872
PIE-only,ETC2,603,159,0.9082313445520993,0.7585,0.7575757575757576,0.7309941520467836,0.7861635220125787,0.867330016583748,0.7961340546607971,0.7701863354037267,0.7607361963190185,0.779874213836478,0.8772802653399668,0.8552892515156666,0.8027579466258713,0.8187857668989744
PIE-only,ETC3,539,139,0.8980305755395684,0.7585,0.7328767123287672,0.6993464052287581,0.7697841726618705,0.8552875695732839,0.6229182481765747,0.7428571428571429,0.6647727272727273,0.841726618705036,0.849721706864564,0.8316546762589928,0.8209352517985611,0.8003507194244605
PIE-only,ETC4,487,124,0.8712676619568118,0.7585,0.6791044776119403,0.6319444444444444,0.7338709677419355,0.8234086242299795,0.6837363243103027,0.7071428571428572,0.6346153846153846,0.7983870967741935,0.8316221765913757,0.7975428774549009,0.794265973518173,0.7907780147516217
Transfer,ETC0_5,684,180,0.8534501763668431,0.7585,0.6584615384615384,0.7379310344827587,0.5944444444444444,0.8377192982456141,0.6229182481765747,0.6798029556650246,0.6106194690265486,0.7666666666666667,0.8099415204678363,0.8670800264550264,0.7590167548500881,0.7494708994708995
Transfer,ETC1,664,174,0.8651771053248885,0.7585,0.6837060702875399,0.7697841726618705,0.6149425287356322,0.8509036144578314,0.7300012707710266,0.6930091185410334,0.7354838709677419,0.6551724137931034,0.8478915662650602,0.8737919305653296,0.7815857377433733,0.7561107201501289
Transfer,ETC2,603,159,0.8703963397359624,0.7585,0.6187050359712231,0.7226890756302521,0.5408805031446541,0.824212271973466,0.5429238677024841,0.6834733893557423,0.6161616161616161,0.7672955974842768,0.8126036484245439,0.8437730183013202,0.7579324607626495,0.7895843957164712
Transfer,ETC3,539,139,0.8583812949640287,0.7585,0.6,0.7128712871287128,0.5179856115107914,0.8218923933209648,0.5610344409942627,0.6645161290322581,0.6023391812865497,0.7410071942446043,0.8070500927643784,0.8363579136690646,0.7685971223021584,0.7800719424460432
Transfer,ETC4,487,124,0.8413645250155514,0.7585,0.5170731707317073,0.654320987654321,0.4274193548387097,0.7967145790554415,0.5274990797042847,0.6526315789473685,0.577639751552795,0.75,0.7967145790554415,0.7959877366035722,0.7516328978938949,0.7712943215142628
Pooled,ETC0_5,684,180,0.8791721781305115,0.7585,0.6646153846153846,0.7448275862068966,0.6,0.8406432748538012,0.34897783398628235,0.7087378640776699,0.6293103448275862,0.8111111111111111,0.8245614035087719,0.8695656966490299,0.6806216931216931,0.7399360670194004
Pooled,ETC1,664,174,0.8843889279849871,0.7585,0.6729559748427673,0.7430555555555556,0.6149425287356322,0.8433734939759037,0.45856085419654846,0.7043010752688172,0.6616161616161617,0.7528735632183908,0.8343373493975904,0.86830283837673,0.6962467745718977,0.7636992728125733
Pooled,ETC2,603,159,0.8582497591931555,0.7585,0.6326530612244898,0.6888888888888889,0.5849056603773585,0.8208955223880597,0.33220207691192627,0.6822916666666666,0.5822222222222222,0.8238993710691824,0.7976782752902156,0.8517833871607456,0.6557595331180237,0.7879624907926795
Pooled,ETC3,539,139,0.8348111510791367,0.7585,0.5703125,0.6239316239316239,0.5251798561151079,0.7959183673469388,0.5510905385017395,0.6407766990291263,0.5823529411764706,0.7122302158273381,0.7940630797773655,0.8225989208633094,0.6696492805755396,0.7846133093525179
Pooled,ETC4,487,124,0.8247911667999644,0.7585,0.584070796460177,0.6470588235294118,0.532258064516129,0.8069815195071869,0.6253237724304199,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.8193018480492813,0.8008419976895048,0.6847618412867679,0.7586421398738113
