horizon,ablation,ablate_kin,ablate_local,ablate_global,n,n_pos,n_neg,auc,static_thr,static_f1,static_prec,static_rec,static_acc,tuned_thr,tuned_f1,tuned_prec,tuned_rec,tuned_acc
ETC0_5,Full,False,False,False,684,180,504,0.8825837742504409,0.7585,0.7365591397849462,0.7135416666666666,0.7611111111111111,0.8567251461988304,0.8629302382469177,0.7596439169139466,0.8152866242038217,0.7111111111111111,0.881578947368421
ETC0_5,NoGlobal,False,False,True,684,180,504,0.8623842592592593,0.7585,0.6511627906976745,0.56,0.7777777777777778,0.7807017543859649,0.8830344080924988,0.7122507122507122,0.7309941520467836,0.6944444444444444,0.8523391812865497
ETC0_5,NoLocal,False,True,False,684,180,504,0.8034281305114639,0.7585,0.5034013605442177,0.6491228070175439,0.4111111111111111,0.7865497076023392,0.15934818983078003,0.6128364389233955,0.4884488448844885,0.8222222222222222,0.7266081871345029
ETC0_5,NoKin,True,False,False,684,180,504,0.8155753968253967,0.7585,0.24413145539906103,0.7878787878787878,0.14444444444444443,0.7646198830409356,0.5885344743728638,0.623229461756374,0.6358381502890174,0.6111111111111112,0.8055555555555556
ETC0_5,KinOnly,False,True,True,684,180,504,0.8775573192239859,0.7585,0.7475247524752475,0.6741071428571429,0.8388888888888889,0.8508771929824561,0.7824963331222534,0.7525252525252525,0.6898148148148148,0.8277777777777777,0.8567251461988304
ETC0_5,VisualOnly,True,False,False,684,180,504,0.8155753968253967,0.7585,0.24413145539906103,0.7878787878787878,0.14444444444444443,0.7646198830409356,0.5885344743728638,0.623229461756374,0.6358381502890174,0.6111111111111112,0.8055555555555556
ETC1,Full,False,False,False,664,174,490,0.8984224724372507,0.7585,0.7359550561797753,0.7197802197802198,0.7528735632183908,0.858433734939759,0.8967949151992798,0.7581699346405228,0.8787878787878788,0.6666666666666666,0.8885542168674698
ETC1,NoGlobal,False,False,True,664,174,490,0.8806474313863476,0.7585,0.6875,0.5909090909090909,0.8218390804597702,0.8042168674698795,0.8718026280403137,0.7197802197802198,0.6894736842105263,0.7528735632183908,0.8463855421686747
ETC1,NoLocal,False,True,False,664,174,490,0.8222261318320432,0.7585,0.5473684210526316,0.7027027027027027,0.4482758620689655,0.8057228915662651,0.18053968250751495,0.6104783599088838,0.5056603773584906,0.7701149425287356,0.7424698795180723
ETC1,NoKin,True,False,False,664,174,490,0.861705371803894,0.7585,0.3018867924528302,0.8421052631578947,0.1839080459770115,0.7771084337349398,0.5564598441123962,0.7052023121387283,0.7093023255813954,0.7011494252873564,0.8463855421686747
ETC1,KinOnly,False,True,True,664,174,490,0.870021111893033,0.7585,0.7153652392947103,0.6367713004484304,0.8160919540229885,0.8298192771084337,0.7890712022781372,0.7286821705426356,0.6619718309859155,0.8103448275862069,0.8418674698795181
ETC1,VisualOnly,True,False,False,664,174,490,0.861705371803894,0.7585,0.3018867924528302,0.8421052631578947,0.1839080459770115,0.7771084337349398,0.5564598441123962,0.7052023121387283,0.7093023255813954,0.7011494252873564,0.8463855421686747
ETC2,Full,False,False,False,603,159,444,0.9082313445520993,0.7585,0.7575757575757576,0.7309941520467836,0.7861635220125787,0.867330016583748,0.7961340546607971,0.7701863354037267,0.7607361963190185,0.779874213836478,0.8772802653399668
ETC2,NoGlobal,False,False,True,603,159,444,0.8594537934160575,0.7585,0.6802030456852792,0.5702127659574469,0.8427672955974843,0.7910447761194029,0.7531036734580994,0.6818181818181818,0.569620253164557,0.8490566037735849,0.7910447761194029
ETC2,NoLocal,False,True,False,603,159,444,0.875134568530795,0.7585,0.6274509803921569,0.8333333333333334,0.5031446540880503,0.8424543946932007,0.37771281599998474,0.6983050847457627,0.7573529411764706,0.6477987421383647,0.8524046434494196
ETC2,NoKin,True,False,False,603,159,444,0.8747521106011673,0.7585,0.32160804020100503,0.8,0.20125786163522014,0.7761194029850746,0.5546513795852661,0.6967741935483871,0.7152317880794702,0.6792452830188679,0.8441127694859039
ETC2,KinOnly,False,True,True,603,159,444,0.8421511133775286,0.7585,0.6835443037974683,0.5720338983050848,0.8490566037735849,0.7927031509121062,0.7923036217689514,0.6997389033942559,0.5982142857142857,0.8427672955974843,0.8092868988391376
ETC2,VisualOnly,True,False,False,603,159,444,0.8747521106011673,0.7585,0.32160804020100503,0.8,0.20125786163522014,0.7761194029850746,0.5546513795852661,0.6967741935483871,0.7152317880794702,0.6792452830188679,0.8441127694859039
ETC3,Full,False,False,False,539,139,400,0.8980305755395684,0.7585,0.7328767123287672,0.6993464052287581,0.7697841726618705,0.8552875695732839,0.6229182481765747,0.7428571428571429,0.6647727272727273,0.841726618705036,0.849721706864564
ETC3,NoGlobal,False,False,True,539,139,400,0.8335881294964029,0.7585,0.6555555555555556,0.5339366515837104,0.8489208633093526,0.7699443413729128,0.646683394908905,0.6649214659685864,0.522633744855967,0.9136690647482014,0.7625231910946196
ETC3,NoLocal,False,True,False,539,139,400,0.8540197841726619,0.7585,0.6260869565217392,0.7912087912087912,0.5179856115107914,0.8404452690166976,0.30331891775131226,0.676056338028169,0.6620689655172414,0.6906474820143885,0.8293135435992579
ETC3,NoKin,True,False,False,539,139,400,0.8787589928057554,0.7585,0.3595505617977528,0.8205128205128205,0.2302158273381295,0.7884972170686456,0.583618700504303,0.6996197718631179,0.7419354838709677,0.6618705035971223,0.8534322820037106
