strategy,split,n,n_pos,n_neg,auc,static_thr,static_f1,static_prec,static_rec,static_acc,tuned_thr,tuned_f1,tuned_prec,tuned_rec,tuned_acc,auc_kin,auc_local,auc_global
PIE-only,JAAD/val,231,138,93,0.4814165497896213,0.7585,0.5703703703703704,0.5833333333333334,0.5579710144927537,0.49783549783549785,0.09235979616641998,0.7479674796747967,0.5974025974025974,1.0,0.5974025974025974,0.45897615708274897,0.3663316191366683,0.730871123577996
PIE-only,JAAD/test,1283,596,687,0.5433005578187431,0.7585,0.46402877697841727,0.5,0.43288590604026844,0.5354637568199533,0.07668380439281464,0.6379774072081764,0.46951702296120346,0.9949664429530202,0.475448168355417,0.5833797368189678,0.49499330812891373,0.5790190303136876
Transfer,JAAD/val,231,138,93,0.5556724326009038,0.7585,0.4563106796116505,0.6911764705882353,0.34057971014492755,0.5151515151515151,0.07211220264434814,0.7479674796747967,0.5974025974025974,1.0,0.5974025974025974,0.4570282063269441,0.528634876110332,0.48044257441171884
Transfer,JAAD/test,1283,596,687,0.6207357638990652,0.7585,0.40486725663716816,0.5941558441558441,0.3070469798657718,0.5806703039750585,0.07613247632980347,0.6347177848775293,0.46489859594383776,1.0,0.46531566640685895,0.5386174692027392,0.5272254134794798,0.6507160790520012
Pooled,JAAD/val,231,138,93,0.4484961820165186,0.7585,0.6458333333333334,0.62,0.6739130434782609,0.5584415584415584,0.04646466672420502,0.7479674796747967,0.5974025974025974,1.0,0.5974025974025974,0.5084151472650771,0.5933068412030544,0.3477092099111735
Pooled,JAAD/test,1283,596,687,0.6350487969285777,0.7585,0.6129692832764505,0.5166858457997698,0.7533557046979866,0.5580670303975058,0.4664810299873352,0.6682808716707022,0.5227272727272727,0.9261744966442953,0.5728760717069369,0.6151294901478074,0.5498471127262781,0.6740668014810038
