horizon,branch,n,n_pos,n_neg,auc,static_thr,static_f1,static_prec,static_rec,static_acc,tuned_thr,tuned_f1,tuned_prec,tuned_rec,tuned_acc
ETC0_5,fused,684,180,504,0.8825837742504409,0.7585,0.7365591397849462,0.7135416666666666,0.7611111111111111,0.8567251461988304,0.8629302382469177,0.7596439169139466,0.8152866242038217,0.7111111111111111,0.881578947368421
ETC0_5,kin,684,180,504,0.8795524691358025,0.7585,0.6513157894736842,0.7983870967741935,0.55,0.8450292397660819,0.6083032488822937,0.7447916666666666,0.7009803921568627,0.7944444444444444,0.8567251461988304
ETC0_5,local,684,180,504,0.7671737213403882,0.7585,0.5356125356125356,0.5497076023391813,0.5222222222222223,0.7616959064327485,0.6836307048797607,0.5513784461152882,0.502283105022831,0.6111111111111112,0.7383040935672515
ETC0_5,global,684,180,504,0.741137566137566,0.7585,0.49266862170087977,0.5217391304347826,0.4666666666666667,0.7470760233918129,0.37782758474349976,0.5325884543761639,0.4005602240896359,0.7944444444444444,0.6330409356725146
ETC1,fused,664,174,490,0.8984224724372507,0.7585,0.7359550561797753,0.7197802197802198,0.7528735632183908,0.858433734939759,0.8967949151992798,0.7581699346405228,0.8787878787878788,0.6666666666666666,0.8885542168674698
ETC1,kin,664,174,490,0.8766772226131831,0.7585,0.6333333333333333,0.753968253968254,0.5459770114942529,0.8343373493975904,0.5908382534980774,0.7305699481865285,0.6650943396226415,0.8103448275862069,0.8433734939759037
ETC1,local,664,174,490,0.8231937602627257,0.7585,0.6086956521739131,0.6140350877192983,0.603448275862069,0.7966867469879518,0.5932558178901672,0.627906976744186,0.52734375,0.7758620689655172,0.7590361445783133
ETC1,global,664,174,490,0.765024630541872,0.7585,0.5325077399380805,0.5771812080536913,0.4942528735632184,0.7725903614457831,0.6414223909378052,0.553763440860215,0.5202020202020202,0.5919540229885057,0.75
ETC2,fused,603,159,444,0.9082313445520993,0.7585,0.7575757575757576,0.7309941520467836,0.7861635220125787,0.867330016583748,0.7961340546607971,0.7701863354037267,0.7607361963190185,0.779874213836478,0.8772802653399668
ETC2,kin,603,159,444,0.8552892515156666,0.7585,0.5671641791044776,0.6972477064220184,0.4779874213836478,0.8076285240464345,0.5359789729118347,0.6967418546365914,0.5791666666666667,0.8742138364779874,0.7993366500829188
ETC2,local,603,159,444,0.8027579466258713,0.7585,0.5512820512820513,0.5620915032679739,0.5408805031446541,0.7678275290215588,0.45810630917549133,0.6070588235294118,0.4849624060150376,0.8113207547169812,0.7230514096185738
ETC2,global,603,159,444,0.8187857668989744,0.7585,0.6115107913669064,0.7142857142857143,0.5345911949685535,0.8208955223880597,0.7051762938499451,0.6506849315068494,0.7142857142857143,0.5974842767295597,0.8308457711442786
ETC3,fused,539,139,400,0.8980305755395684,0.7585,0.7328767123287672,0.6993464052287581,0.7697841726618705,0.8552875695732839,0.6229182481765747,0.7428571428571429,0.6647727272727273,0.841726618705036,0.849721706864564
ETC3,kin,539,139,400,0.8316546762589928,0.7585,0.5619834710743802,0.6601941747572816,0.4892086330935252,0.8033395176252319,0.5963743925094604,0.6512968299711815,0.5432692307692307,0.8129496402877698,0.7755102040816326
ETC3,local,539,139,400,0.8209352517985611,0.7585,0.5393258426966292,0.5625,0.5179856115107914,0.7717996289424861,0.5292025804519653,0.6430678466076696,0.545,0.7841726618705036,0.7755102040816326
ETC3,global,539,139,400,0.8003507194244605,0.7585,0.6031746031746031,0.672566371681416,0.5467625899280576,0.8144712430426716,0.6790723204612732,0.6187050359712231,0.6187050359712231,0.6187050359712231,0.8033395176252319
ETC4,fused,487,124,363,0.8712676619568118,0.7585,0.6791044776119403,0.6319444444444444,0.7338709677419355,0.8234086242299795,0.6837363243103027,0.7071428571428572,0.6346153846153846,0.7983870967741935,0.8316221765913757
ETC4,kin,487,124,363,0.7975428774549009,0.7585,0.4744186046511628,0.5604395604395604,0.4112903225806452,0.7679671457905544,0.5761843323707581,0.6144578313253012,0.49038461538461536,0.8225806451612904,0.7371663244353183
ETC4,local,487,124,363,0.794265973518173,0.7585,0.5213675213675214,0.5545454545454546,0.49193548387096775,0.7700205338809035,0.37421879172325134,0.5868945868945868,0.45374449339207046,0.8306451612903226,0.702258726899384
ETC4,global,487,124,363,0.7907780147516217,0.7585,0.6515837104072398,0.7422680412371134,0.5806451612903226,0.8418891170431212,0.8229018449783325,0.6574074074074074,0.7717391304347826,0.5725806451612904,0.8480492813141683
